epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1892.58,0.80249,0.49686,0.91461,0.8988,0.80398,0.88729,0.62215,0.7733,0.45523,0.90826,0.000462281,0.000462281,0.000462281
43,1937.35,0.79123,0.49113,0.91197,0.89055,0.80834,0.88776,0.61605,0.77475,0.45981,0.912,0.000438703,0.000438703,0.000438703
44,1982.27,0.78224,0.48729,0.90794,0.88728,0.81376,0.88671,0.61897,0.76916,0.45522,0.90361,0.000415124,0.000415124,0.000415124
45,2026.96,0.78459,0.48508,0.90891,0.90051,0.81212,0.88931,0.62312,0.76616,0.45111,0.90758,0.000391546,0.000391546,0.000391546
46,2071.81,0.77427,0.48129,0.90485,0.89442,0.81199,0.88811,0.62654,0.76063,0.44908,0.90711,0.000367967,0.000367967,0.000367967
47,2117.07,0.77253,0.47815,0.90604,0.90575,0.80609,0.89352,0.62595,0.75838,0.44456,0.90237,0.000344389,0.000344389,0.000344389
48,2162.18,0.76973,0.47433,0.90306,0.90636,0.80228,0.89372,0.63133,0.75808,0.44347,0.90027,0.00032081,0.00032081,0.00032081
49,2207.34,0.76321,0.47146,0.90057,0.90145,0.80878,0.89097,0.63496,0.75328,0.44192,0.90056,0.000297232,0.000297232,0.000297232
50,2252.22,0.75759,0.46667,0.89905,0.9047,0.80693,0.89225,0.63004,0.75014,0.43678,0.89655,0.000273654,0.000273654,0.000273654
51,2298.07,0.7429,0.44637,0.89269,0.9006,0.8139,0.89456,0.62898,0.76278,0.4418,0.90211,0.000250075,0.000250075,0.000250075
52,2341.98,0.72771,0.438,0.88527,0.89431,0.81785,0.89567,0.63151,0.75967,0.44155,0.89906,0.000226497,0.000226497,0.000226497
53,2385.69,0.72099,0.43304,0.88602,0.91293,0.81678,0.89487,0.63384,0.75065,0.43743,0.89899,0.000202918,0.000202918,0.000202918
54,2429.58,0.71327,0.42959,0.88387,0.90498,0.81435,0.89896,0.63817,0.74911,0.43556,0.89645,0.00017934,0.00017934,0.00017934
55,2473.18,0.70156,0.42212,0.87999,0.9172,0.81041,0.90057,0.63933,0.74477,0.43185,0.89635,0.000155761,0.000155761,0.000155761
56,2516.77,0.69797,0.42064,0.87876,0.90093,0.82559,0.90031,0.63976,0.74209,0.43165,0.89389,0.000132183,0.000132183,0.000132183
57,2560.23,0.69471,0.41799,0.87735,0.91187,0.81699,0.90128,0.63989,0.74016,0.42933,0.89493,0.000108604,0.000108604,0.000108604
58,2603.81,0.6883,0.41397,0.87467,0.90013,0.82705,0.902,0.64017,0.73916,0.42851,0.89535,8.50255e-05,8.50255e-05,8.50255e-05
59,2647.43,0.68157,0.412,0.87537,0.90923,0.82251,0.89937,0.64181,0.73609,0.42547,0.89419,6.1447e-05,6.1447e-05,6.1447e-05
60,2691.14,0.67828,0.40785,0.87502,0.90964,0.81993,0.89993,0.6426,0.73494,0.42514,0.89371,3.78685e-05,3.78685e-05,3.78685e-05
